id,question_id,user_id,description,created_at
215,4,104,3,"2016-08-12 19:31:07"
216,5,104,2,"2016-08-12 19:31:07"
217,6,104,4,"2016-08-12 19:31:07"
218,7,104,2,"2016-08-12 19:31:07"
219,12,104,,"2016-08-12 19:31:07"
220,1,110,20,"2016-08-12 19:31:12"
221,2,110,Medium,"2016-08-12 19:31:12"
222,4,110,3,"2016-08-12 19:31:12"
223,5,110,4,"2016-08-12 19:31:12"
224,6,110,5,"2016-08-12 19:31:12"
225,7,110,1,"2016-08-12 19:31:12"
226,10,110,3,"2016-08-12 19:31:12"
227,11,110,2,"2016-08-12 19:31:12"
228,12,110,,"2016-08-12 19:31:12"
229,1,98,16,"2016-08-12 19:31:53"
230,2,98,Easy,"2016-08-12 19:31:53"
231,4,98,4,"2016-08-12 19:31:53"
232,5,98,2,"2016-08-12 19:31:53"
233,6,98,4,"2016-08-12 19:31:53"
234,7,98,2,"2016-08-12 19:31:53"
235,8,98,2,"2016-08-12 19:31:53"
236,9,98,3,"2016-08-12 19:31:53"
237,12,98,"thank you for the interesting HIT","2016-08-12 19:31:53"
238,1,108,10,"2016-08-12 19:41:36"
239,2,108,Easy,"2016-08-12 19:41:36"
240,4,108,4,"2016-08-12 19:41:36"
241,5,108,3,"2016-08-12 19:41:36"
242,6,108,3,"2016-08-12 19:41:36"
243,7,108,3,"2016-08-12 19:41:36"
244,10,108,3,"2016-08-12 19:41:36"
245,11,108,2,"2016-08-12 19:41:36"
246,12,108,,"2016-08-12 19:41:36"
247,1,88,"20 mins","2016-08-12 19:47:52"
248,2,88,"Very easy","2016-08-12 19:47:52"
249,4,88,5,"2016-08-12 19:47:52"
250,5,88,5,"2016-08-12 19:47:52"
251,6,88,5,"2016-08-12 19:47:52"
252,7,88,3,"2016-08-12 19:47:52"
253,12,88,"Excellent survey thank you so much It was easy to understand.","2016-08-12 19:47:52"
254,1,87,0:25,"2016-08-12 20:03:37"
255,2,87,Medium,"2016-08-12 20:03:37"
256,4,87,3,"2016-08-12 20:03:37"
257,5,87,2,"2016-08-12 20:03:37"
258,6,87,4,"2016-08-12 20:03:37"
259,7,87,2,"2016-08-12 20:03:37"
260,10,87,1,"2016-08-12 20:03:37"
261,11,87,1,"2016-08-12 20:03:37"
262,12,87,,"2016-08-12 20:03:37"
263,1,117,00:25,"2016-08-12 20:11:17"
264,2,117,High,"2016-08-12 20:11:17"
265,4,117,3,"2016-08-12 20:11:17"
266,5,117,2,"2016-08-12 20:11:17"
267,6,117,4,"2016-08-12 20:11:17"
268,7,117,3,"2016-08-12 20:11:17"
269,12,117,"Uncertain whether the scenarios I provided are what you are looking for.","2016-08-12 20:11:17"
270,1,76,00:30,"2016-08-12 20:32:30"
271,2,76,Medium,"2016-08-12 20:32:30"
272,4,76,3,"2016-08-12 20:32:30"
273,5,76,2,"2016-08-12 20:32:30"
274,6,76,3,"2016-08-12 20:32:30"
275,7,76,2,"2016-08-12 20:32:30"
276,8,76,3,"2016-08-12 20:32:30"
277,9,76,3,"2016-08-12 20:32:30"
278,12,76,,"2016-08-12 20:32:30"
279,1,112,25,"2016-08-12 20:33:28"
280,2,112,Medium,"2016-08-12 20:33:28"
281,4,112,3,"2016-08-12 20:33:28"
282,5,112,2,"2016-08-12 20:33:28"
283,6,112,5,"2016-08-12 20:33:28"
284,7,112,2,"2016-08-12 20:33:28"
285,10,112,1,"2016-08-12 20:33:28"
286,11,112,1,"2016-08-12 20:33:28"
287,12,112,,"2016-08-12 20:33:28"
288,1,109,"30 minutes","2016-08-12 21:02:32"
289,2,109,"Very easy","2016-08-12 21:02:32"
290,4,109,5,"2016-08-12 21:02:32"
291,5,109,1,"2016-08-12 21:02:32"
292,6,109,5,"2016-08-12 21:02:32"
293,7,109,1,"2016-08-12 21:02:32"
294,10,109,1,"2016-08-12 21:02:32"
295,11,109,1,"2016-08-12 21:02:32"
296,12,109,,"2016-08-12 21:02:32"
297,1,123,"20 minutes","2016-08-12 21:07:05"
298,2,123,Easy,"2016-08-12 21:07:05"
299,4,123,5,"2016-08-12 21:07:05"
300,5,123,2,"2016-08-12 21:07:05"
301,6,123,5,"2016-08-12 21:07:05"
302,7,123,3,"2016-08-12 21:07:05"
303,8,123,1,"2016-08-12 21:07:05"
304,9,123,4,"2016-08-12 21:07:05"
305,12,123,"It was fun.","2016-08-12 21:07:05"
306,1,122,"45 minutes","2016-08-12 22:08:04"
307,2,122,High,"2016-08-12 22:08:04"
308,4,122,4,"2016-08-12 22:08:04"
309,5,122,3,"2016-08-12 22:08:04"
310,6,122,4,"2016-08-12 22:08:04"
311,7,122,2,"2016-08-12 22:08:04"
312,1,130,30,"2016-08-13 00:20:36"
313,2,130,Easy,"2016-08-13 00:20:36"
314,4,130,4,"2016-08-13 00:20:36"
315,5,130,2,"2016-08-13 00:20:36"
316,6,130,4,"2016-08-13 00:20:36"
317,7,130,1,"2016-08-13 00:20:36"
318,10,130,3,"2016-08-13 00:20:36"
319,11,130,4,"2016-08-13 00:20:36"
320,12,130,"There was not a lot of interaction as I seem to be first on the seen, followed by someone else at a latter point. The odd thing is that I didn't start this hit for almost an hour after I excepted it. ","2016-08-13 00:20:36"
321,1,91,30,"2016-08-13 00:34:12"
322,2,91,"Very easy","2016-08-13 00:34:12"
323,4,91,4,"2016-08-13 00:34:12"
324,5,91,3,"2016-08-13 00:34:12"
325,6,91,4,"2016-08-13 00:34:12"
326,7,91,3,"2016-08-13 00:34:12"
327,12,91,,"2016-08-13 00:34:12"
328,1,89,00:30,"2016-08-13 01:06:34"
329,2,89,Medium,"2016-08-13 01:06:34"
330,4,89,4,"2016-08-13 01:06:34"
331,5,89,2,"2016-08-13 01:06:34"
332,6,89,4,"2016-08-13 01:06:34"
333,7,89,1,"2016-08-13 01:06:34"
334,12,89,Nice.,"2016-08-13 01:06:34"
335,1,134,00:30-00:45,"2016-08-13 02:21:33"
336,2,134,Medium,"2016-08-13 02:21:33"
337,4,134,3,"2016-08-13 02:21:33"
338,5,134,1,"2016-08-13 02:21:33"
